"ID_REF"	"WT.GSM130365"	"WT.GSM130366"	"WT.GSM130367"	"KO.GSM130368"	"KO.GSM130369"	"KO.GSM130370"
"100001_at"	11.5	5.6	69.1	15.7	36	42
"100002_at"	20.5	32.4	93.3	31.8	14.4	22.9
"100003_at"	72.4	89	79.2	80.5	130.1	86.7
"100004_at"	261	226.2	365.1	432	447.3	288.1
"100005_at"	1086.2	1555.6	1487.1	1062.2	1365.9	1436.2
"100006_at"	49.7	52.9	15	25.8	48.8	54.8
"100007_at"	959.4	846.6	1312.4	993.9	1008.8	825.6
"100009_r_at"	5432.8	5652.7	4386.6	6439.4	7307.2	7793.3
"100010_at"	460.8	575.8	438	601.5	481.4	488.4
"100011_at"	716.1	737.4	700.5	912.3	903.8	740.9
"100012_at"	511.1	525.7	598.8	1294.3	1138.6	1043
"100013_at"	41.1	42.4	54.9	121.5	42.7	74.5
"100014_at"	379.4	470.7	462.7	285.2	231.6	327.3
"100015_at"	311.6	508.3	399.3	535	604	762.9
"100016_at"	315.6	262.9	398.4	339.7	235.8	346.6
"100017_at"	97.3	135.5	195.9	136.4	150.4	138
"100018_at"	212.1	242.3	233.6	120.8	268.8	227.3
"100019_at"	347.9	245.6	193.1	196.9	397.6	267.2
"100020_at"	519.2	463.4	521.4	479.2	539.5	476.2
"100021_at"	28.2	24.6	35	20.5	21.8	24.7
"100022_at"	176.2	175.2	297.7	226.5	197.4	225.8
"100023_at"	4254.2	4277.5	4449.5	6037.6	6181.5	6162.7
"100024_at"	730.3	742.9	622.7	696.3	629.2	535.2
"100026_at"	2556.7	2707.7	3028.6	5066.3	4495.7	4344.2
"100027_s_at"	1155.3	801.1	1320.1	1116.1	1155.7	978.5
"100028_r_at"	192.1	115.5	360.9	263.3	125.1	95.8
"100029_at"	1704.3	1817.1	2215.3	2122.5	2238.1	1917.3
"100030_at"	2515.6	2524.1	2407.9	3191	3105.4	2667.1
"100032_at"	915.7	683.8	928.6	755	797.8	792.4
"100033_at"	2355.2	2450.9	2755.6	2466.6	2690.9	2551.1
"100034_at"	7.2	67	11.5	16.4	6.3	13.9
"100035_at"	12.7	14.9	10.8	32.8	34.5	28
"100037_at"	1718.1	1614.4	1639.7	1734.7	1567.2	1611.6
"100039_at"	660.7	1123.9	839.6	1323.4	831.6	925.4
"100040_at"	712.5	782.5	840.3	720.3	707.9	853.2
"100041_at"	2912.1	3008	3062.1	4769.6	4319.9	4105.6
"100042_at"	420.8	460.4	433.2	447.8	445.1	509.4
"100043_f_at"	228.5	318.9	196.1	271.1	255.3	246.5
"100044_at"	24.5	38.1	23.9	6.5	5.5	33.7
"100046_at"	3328.2	3482.9	3270.1	4868.3	4266	4218.1
"100047_at"	23.4	10.1	10.8	15.5	15.1	17
"100048_at"	22.9	88.7	124.2	103.3	39.7	118.3
"100049_at"	10.6	3.7	15.5	31.9	10.6	7.9
"100050_at"	852.3	834.7	874.1	747.1	747.7	671.7
"100051_at"	1160.3	1069.7	1211.2	1351	1250.4	1005.4
"100052_at"	16.3	11.8	33.2	33.2	20.2	17.4
"100054_s_at"	552.7	531.2	506.3	514.9	386.7	473.1
"100056_at"	519.5	429	520.8	661.2	619.5	610.2
"100057_at"	745.6	680	551.4	478.5	518.5	647.9
"100058_at"	42	225.4	316.7	302.9	118.4	223.4
"100059_at"	1096	1146.4	1157.7	1062.6	1031.3	958.6
"100060_i_at"	15.1	4.4	9.6	8.1	17.8	5
